state,district,activity,location
Sarawak,Kuching,Nature,Bako National Park
Sarawak,Miri,Nature,Tusan Beach
Sabah,Kota Kinabalu,Nature,Kinabalu National Park
Sabah,Tambunan,Nature,Mahua Waterfall
Terengganu,Kuala Terengganu,Nature,Bidong Island
Sarawak,Kuching,Leisure,Sarawak State Museum
Sarawak,Kuching,Leisure,Kuching Esplanade & Waterfront
Sabah,Kota Kinabalu,Leisure,Water World Theme Park
Terengganu,Hulu Terengganu,Culture,KT Waterfront Heritage City
Terengganu,Hulu Terengganu,Leisure,Terengganu State Museum
Sabah,Tambunan,Nature,Tambunan Rafflesia Centre
Sabah,Tambunan,Culture,St. Patrick's Church
Sarawak,Kuching,Nature,Bako National Park
Sarawak,Miri,Leisure,Coco Cabana
Sarawak,Kuching,Leisure,Sarawak State Museum
Terengganu,Kuala Terengganu,Culture,Crystal Mosque
Sabah,Tambunan,Nature,Tambunan Rafflesia Centre
Sarawak,Miri,Culture,Miri Handicraft Centre
Sabah,Kota Kinabalu,Nature,Tunku Abdul Rahman National Park
Terengganu,Kuala Terengganu,Nature,Kenyir Lake
Sabah,Kota Kinabalu,Leisure,Water World Theme Park
Terengganu,Kuala Terengganu,Nature,Bidong Island
Sarawak,Kuching,Culture,Sarawak Cultural Village
Sarawak,Kuching,Nature,Bako National Park
Sarawak,Miri,Leisure,The Grand Old Lady
Terengganu,Kuala Terengganu,Nature,Kenyir Lake
Terengganu,Kuala Terengganu,Leisure,Terengganu State Museum
Terengganu,Kuala Terengganu,Leisure,Terengganu Science and Creativity
Terengganu,Kuala Terengganu,Culture,Crystal Mosque
Terengganu,Kuala Terengganu,Culture,KT Waterfront Heritage City
Sabah,Kota Kinabalu,Leisure,Water World Theme Park
Sarawak,Kuching,Culture,Sarawak Cultural Village
Sabah,Tambunan,Nature,Mahua Waterfall
Terengganu,Kuala Terengganu,Nature,Bidong Island
Sarawak,Miri,Nature,Mulu National park
Sarawak,Kuching,Leisure,Sarawak State Museum
Sarawak,Kuching,Nature,Bako National Park
Sarawak,Miri,Leisure,Coco Cabana
Sarawak,Miri,Culture,Tua Pek Kong Temple
Sabah,Kota Kinabalu,Nature,Kinabalu National Park
Sabah,Kota Kinabalu,Culture,Monsopiad Cultural Village
Sabah,Tambunan,Leisure,Kipandi Butterfly Park
Sabah,Tambunan,Culture,Tambunan Cultural Village
Terengganu,Kuala Terengganu,Leisure,Terengganu State Museum
Terengganu,Kuala Terengganu,Culture,Crystal Mosque
Terengganu,Hulu Terengganu,Nature,Lasir Waterfall
Terengganu,Hulu Terengganu,Leisure,Terengganu State Museum
Sabah,Kota Kinabalu,Leisure,Water World Theme Park
Sarawak,Kuching,Leisure,Kuching Esplanade & Waterfront
Terengganu,Kuala Terengganu,Leisure,Terengganu Science and Creativity
Sabah,Kota Kinabalu,Nature,Kinabalu National Park
Terengganu,Kuala Terengganu,Culture,Crystal Mosque
Sabah,Tambunan,Leisure,Kipandi Butterfly Park
Sarawak,Kuching,Leisure,Sarawak State Museum
Terengganu,Hulu Terengganu,Culture,Sultan Mahmud Mosque
Terengganu,Hulu Terengganu,Leisure,Terengganu Craft Culture Complex
Sarawak,Kuching,Leisure,Sarawak State Museum
Sabah,Kota Kinabalu,Nature,Kinabalu National Park
Sarawak,Miri,Leisure,Coco Cabana
Terengganu,Kuala Terengganu,Culture,Crystal Mosque
Sabah,Kota Kinabalu,Nature,Kinabalu National Park
Sabah,Tambunan,Nature,Mahua Waterfall
Sabah,Kota Kinabalu,Leisure,Kota Kinabalu Waterfront
Sarawak,Kuching,Culture,Sarawak Cultural Village
Sabah,Kota Kinabalu,Nature,Kinabalu National Park
Terengganu,Kuala Terengganu,Culture,KT Waterfront Heritage City
Sarawak,Miri,Culture,Miri Handicraft Centre
Sabah,Tambunan,Leisure,Tambunan Town Square
Terengganu,Hulu Terengganu,Nature,Lasir Waterfall
Sarawak,Kuching,Culture,The Old Court House Kuching
Terengganu,Hulu Terengganu,Leisure,Seterpa Homestay
